City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
128,college,64.8569,-147.8028,296.6,72,75,2.06,US,1691621308
129,bolobo,-2.1667,16.2333,297.89,63,56,1.6,CD,1691621308
130,kapa'a,22.0752,-159.319,307.14,76,40,8.75,US,1691621309
131,wanlaweyn,2.6185,44.8938,295.95,87,37,4.88,SO,1691621309
132,bredasdorp,-34.5322,20.0403,283.51,93,2,0.97,ZA,1691621309
133,badger,64.8,-147.5333,296.56,73,75,2.06,US,1691621309
134,vilyuchinsk,52.9306,158.4028,291.3,67,63,1.35,RU,1691621309
135,banepa,27.6298,85.5214,294.33,94,75,1.03,NP,1691621309
136,tabou,4.423,-7.3528,297.45,84,99,5.51,CI,1691621310
137,ubari,26.5921,12.7805,299.93,20,0,2.97,LY,1691621310
138,kenora,49.8167,-94.4337,290.69,55,75,4.12,CA,1691621128
139,laguna,38.421,-121.4238,307.84,34,0,2.57,US,1691621310
140,norman gardens,-23.3224,150.5393,289.44,67,0,2.57,AU,1691621310
141,port saint john's,-31.6229,29.5448,290.16,85,84,4.48,ZA,1691621310
142,puerto pilon,9.3644,-79.7933,301.38,87,100,2.58,PA,1691621311
143,anadyr,64.75,177.4833,284.43,82,40,5.0,RU,1691621311
144,birjand,32.8663,59.2211,296.41,25,0,3.09,IR,1691621104
145,kudahuvadhoo,2.6708,72.8944,300.6,75,92,5.4,MV,1691621311
146,prince rupert,54.3161,-130.3201,288.2,96,100,5.14,CA,1691621311
147,kone,-21.0595,164.8658,293.35,59,39,6.33,NC,1691621068
148,fort bragg,35.139,-79.006,305.06,49,20,2.57,US,1691621312
149,luderitz,-26.6481,15.1594,296.34,43,78,4.34,NA,1691621312
150,el abiodh sidi cheikh,32.893,0.5484,304.73,18,25,4.88,DZ,1691621312
151,casper,42.8666,-106.3131,300.77,30,40,6.69,US,1691621312
152,port shepstone,-30.7414,30.455,291.26,80,99,3.31,ZA,1691621312
153,jalingo,8.8833,11.3667,297.71,81,99,1.68,NG,1691621312
154,pudozh,61.8099,36.5345,290.56,77,26,2.63,RU,1691621313
155,nantucket,41.2835,-70.0995,300.23,65,20,7.2,US,1691621313
156,hadibu,12.65,54.0333,298.73,81,75,7.96,YE,1691621313
157,carnarvon,-24.8667,113.6333,292.4,71,19,3.34,AU,1691621313
158,luanda,-8.8368,13.2343,293.15,88,5,2.57,AO,1691621313
159,olonets,60.9847,32.9698,288.44,98,100,1.48,RU,1691621313
160,as sulayyil,20.4607,45.5779,306.29,10,3,2.06,SA,1691621314
161,richards bay,-28.783,32.0377,292.49,68,99,1.74,ZA,1691621314
162,sarkisla,39.3519,36.4098,293.98,71,1,2.15,TR,1691621314
163,iquique,-20.2208,-70.1431,292.17,83,21,2.23,CL,1691621314
164,hachinohe,40.5,141.5,303.25,62,20,8.23,JP,1691621314
165,broken hill,-31.95,141.4333,284.19,72,44,6.79,AU,1691621314
166,turi,40.9173,17.0212,295.39,59,0,2.06,IT,1691621315
167,fisterra,42.9049,-9.2629,294.12,80,100,6.67,ES,1691621315
168,jwaneng,-24.6004,24.7303,282.57,43,9,4.88,BW,1691621082
169,haiku-pauwela,20.9219,-156.3051,301.62,59,40,11.32,US,1691621315
170,ingeniero guillermo n. juarez,-23.9,-61.85,294.7,48,2,1.77,AR,1691621315
171,remire-montjoly,4.9167,-52.2667,301.17,78,0,3.6,GF,1691621315
172,mogocha,53.7333,119.7667,289.71,71,48,1.15,RU,1691621315
173,xiongzhou,25.1167,114.3,299.85,86,44,0.38,CN,1691621316
174,sittwe,20.15,92.9,299.19,88,100,0.79,MM,1691621316
175,tromso,69.6496,18.957,292.16,55,0,3.09,NO,1691621316
176,aldama,22.9167,-98.0667,308.43,51,0,6.93,MX,1691621316
177,turaif,31.6725,38.6637,299.29,21,0,3.6,SA,1691621316
178,klin,56.3333,36.7333,288.24,83,42,2.83,RU,1691621316
179,alofi,-19.0595,-169.9187,301.09,83,75,2.57,NU,1691621317
180,yingkou,40.6648,122.2283,295.98,76,0,7.17,CN,1691621317
181,imishli,39.8709,48.06,300.62,65,0,3.35,AZ,1691621317
182,kailua-kona,19.6406,-155.9956,304.13,72,40,5.66,US,1691621067
183,fort st. john,56.2499,-120.8529,295.09,49,75,2.06,CA,1691621317
184,lyantor,61.6195,72.1555,283.39,70,3,8.97,RU,1691621317
185,doka,13.5167,35.7667,296.02,89,100,4.12,SD,1691621094
186,qaqortoq,60.7167,-46.0333,279.76,81,16,1.27,GL,1691621318
187,el galpon,-25.3807,-64.6526,290.9,51,54,2.27,AR,1691621318
188,manokwari,-0.8667,134.0833,299.86,68,100,0.76,ID,1691621318
189,hermanus,-34.4187,19.2345,285.99,82,0,4.49,ZA,1691621318
190,kavieng,-2.5744,150.7967,301.17,75,86,6.63,PG,1691621318
191,kununurra,-15.7667,128.7333,290.14,63,63,0.0,AU,1691621020
192,yacuiba,-22.038,-63.6797,290.95,48,0,2.03,BO,1691621318
193,aldinga beach,-35.2793,138.4604,286.05,77,4,4.3,AU,1691621319
194,sokol'skoye,57.1412,43.1589,291.8,78,7,3.9,RU,1691621319
195,i-n-salah,27.1935,2.4607,308.31,12,0,5.88,DZ,1691621319
196,severo-yeniseyskiy,60.3725,93.0408,283.57,88,29,2.08,RU,1691621319
197,hamilton,39.1834,-84.5333,299.59,84,100,3.6,US,1691621075
198,ilulissat,69.2167,-51.1,282.16,57,75,2.06,GL,1691621319
199,ormara,25.2088,64.6357,300.21,82,92,6.55,PK,1691621320
200,kayangel,8.0823,134.7173,300.76,80,70,6.88,PW,1691621320
201,port elizabeth,-33.918,25.5701,289.31,82,0,5.66,ZA,1691621292
202,mont-dore,-22.2833,166.5833,292.14,75,49,5.81,NC,1691621320
203,polovinnoye,54.7914,65.9864,289.32,73,21,3.34,RU,1691621320
204,dubbo,-32.25,148.6167,286.22,62,0,3.6,AU,1691621112
205,okhotsk,59.3833,143.3,290.04,62,10,1.48,RU,1691621321
206,burao,9.5221,45.5336,295.62,55,100,9.12,SO,1691621321
207,chibougamau,49.9168,-74.3659,295.94,46,0,3.09,CA,1691621321
208,zhaotong,27.3167,103.7167,290.54,94,80,0.22,CN,1691621321
209,thunder bay,48.4001,-89.3168,295.14,40,75,6.69,CA,1691621321
210,chichiriviche,10.9333,-68.2772,301.48,83,10,6.2,VE,1691621321
211,pierre,44.3683,-100.351,304.42,40,0,1.34,US,1691621321
212,tokar,18.4254,37.729,307.65,27,6,1.57,SD,1691621322
213,askiz,53.1319,90.5264,287.93,75,49,2.52,RU,1691621322
214,pisco,-13.7,-76.2167,293.18,77,20,7.2,PE,1691621322
215,utrik,11.2278,169.8474,301.51,71,74,5.23,MH,1691621322
216,porto murtinho,-21.6989,-57.8825,300.21,47,0,1.15,BR,1691621322
217,pasuquin,18.3328,120.6177,300.12,89,75,2.06,PH,1691621322
218,harstad,68.799,16.5293,290.51,77,20,1.75,NO,1691621323
219,conceicao da barra,-18.5933,-39.7322,294.8,84,8,2.1,BR,1691621323
220,jiuquan,39.7432,98.5174,297.53,49,100,3.37,CN,1691621323
221,port lincoln,-34.7333,135.8667,284.99,67,43,2.88,AU,1691621323
222,iqaluit,63.7506,-68.5145,278.0,100,100,4.12,CA,1691621323
223,venev,54.3553,38.2684,287.61,83,4,3.12,RU,1691621323
224,tevriz,57.509,72.4042,285.65,84,100,1.76,RU,1691621323
225,auki,-8.7676,160.7034,299.11,89,100,5.14,SB,1691621324
226,rio grande,-32.035,-52.0986,289.21,92,100,10.05,BR,1691621299
227,sao vicente,-23.9631,-46.3919,295.25,26,100,0.45,BR,1691621324
228,isafjordur,66.0755,-23.124,281.03,74,91,3.52,IS,1691621324
229,lingyuan,41.24,119.4011,295.8,67,1,1.89,CN,1691621324
230,shiyan,32.6475,110.7781,297.27,90,11,0.26,CN,1691621324
231,callao,-12.0667,-77.15,294.31,73,100,6.17,PE,1691621325
232,gorontalo,0.5412,123.0595,298.49,84,92,2.03,ID,1691621325
